FID,OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1001,989,10006583,CABARRUS REGIONAL JUVENILE DETENTION CENTER,822 MCWHORTER ROAD,CONCORD,NC,28027,NOT AVAILABLE,(704) 720-0807,STATE,OPEN,-999,CABARRUS,37025,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,12/12/2017,UNVERIFIED,2017-12-12T00:00:00.000Z,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,JUVENILE,30,0.00196878836239,2.45814195226e-07,3735.3125,244.350590379707
1002,990,10003650,BLACKBURN CORRECTIONAL COMPLEX,3111 SPURR RD,LEXINGTON,KY,40511,NOT AVAILABLE,(859) 246-2366,STATE,OPEN,591,FAYETTE,21067,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MINIMUM,594,0.0298537971698,4.26082150954e-05,671080.703125,3695.56062510826
1003,991,10001476,MORGAN COUNTY JAIL,300 WEST COURT STREET,JACKSONVILLE,IL,62650,NOT AVAILABLE,(217) 243-4143,COUNTY,OPEN,40,MORGAN,17137,USA,922140,CORRECTIONAL INSTITUTIONS,http://morgancounty-il.com/departments/sheriffs-office/,3/6/2017,IMAGERY,2018-03-02T00:00:00.000Z,http://morgancounty-il.com/departments/sheriffs-office/,NOT AVAILABLE,65,0.00173160138645,1.85689956734e-07,2992.26953125,215.089704471741
1004,992,10000205,POLUNSKY PRISON,3872 FM 350 S,LIVINGSTON,TX,77351,NOT AVAILABLE,(936) 967-8082,STATE,OPEN,2904,POLK,48373,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",9/15/2016,IMAGERY/OTHER,2018-01-11T00:00:00.000Z,http://www.tdcj.state.tx.us/unit_directory/index.html,MAXIMUM,2984,0.0180705605544,2.26954790817e-05,327078.38671875,2155.11656783433
1005,993,10000996,WINNEBAGO COUNTY WORK RELEASE CENTER,90 W COUNTY RD Y,OSHKOSH,WI,54901,NOT AVAILABLE,NOT AVAILABLE,COUNTY,CLOSED,0,WINNEBAGO,55139,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.winnebago.wi.us/sheriff/corrections-division,5/9/2018,IMAGERY,2018-05-09T00:00:00.000Z,NOT AVAILABLE,MINIMUM,210,0.00313200536379,5.8038729936e-07,10012.41015625,410.124698047778
1006,994,10000920,CHARLES COUNTY DETENTION CENTER / ANNEX,6905 CRAIN HWY,LA PLATA,MD,20646,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,333,CHARLES,24017,USA,922140,CORRECTIONAL INSTITUTIONS,http://dlslibrary.state.md.us/publications/JCR/2016/2016_309.pdf,8/30/2016,IMAGERY,2018-03-19T00:00:00.000Z,https://www.ccso.us/,NOT AVAILABLE,490,0.00905593680769,2.25409272156e-06,35703.75390625,1103.27884546501
1007,995,10000110,EASTERN KENTUCKY CORRECTIONAL COMPLEX,200 ROAD TO JUSTICE,WEST LIBERTY,KY,41472,NOT AVAILABLE,(606) 743-2800,STATE,OPEN,1672,MORGAN,21175,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MEDIUM,1674,0.016348611029,1.16117331487e-05,182363.85546875,1987.16221553103
1008,996,10000117,GREEN RIVER CORRECTIONAL COMPLEX,1200 RIVER RD,CENTRAL CITY,KY,42330,NOT AVAILABLE,(270) 754-5415,STATE,OPEN,962,MUHLENBERG,21177,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MEDIUM,947,0.0166803825286,1.54215962911e-05,240286.16015625,2116.57179363395
1009,997,10000121,WESTERN KENTUCKY CORRECTIONAL COMPLEX,374 NEW BETHEL CHURCH RD,FREDONIA,KY,42411,NOT AVAILABLE,(270) 388-9781,STATE,OPEN,677,LYON,21143,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MEDIUM,670,0.0143266261991,9.15713074142e-06,142342.58984375,1772.28478980915
1010,998,10000106,KENTUCKY CORRECTIONAL INSTITUTION FOR WOMEN,3000 ASH AVE,PEWEE VALLEY,KY,40056,NOT AVAILABLE,(502) 241-8454,STATE,OPEN,719,SHELBY,21211,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MAXIMUM,691,0.0168693058824,1.07044777689e-05,168995.546875,2084.7378735043
1011,999,10000107,LITTLE SANDY CORRECTIONAL COMPLEX,505 PRISON CONNECTOR,SANDY HOOK,KY,41171,NOT AVAILABLE,(606) 738-6133,STATE,OPEN,1001,ELLIOTT,21063,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MEDIUM,987,0.0158136954964,1.65538591604e-05,260798.17578125,1920.46102766388
1012,1000,10003647,AUDUBON YOUTH DEVELOPMENT CENTER,8711 LAGRANGE RD,LOUISVILLE,KY,40242,NOT AVAILABLE,(502) 429-7287,STATE,OPEN,41,JEFFERSON,21111,USA,922140,CORRECTIONAL INSTITUTIONS,https://schools.jefferson.kyschools.us/special/sac/audubon.html,12/1/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://schools.jefferson.kyschools.us/special/sac/audubon.html,JUVENILE,80,0.00793842606852,2.55389477363e-06,40310.36328125,995.672528037657
