"","GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"1","01001021000",3,NA,"01","Alabama","AL"
"2","01003010300",6,NA,"01","Alabama","AL"
"3","01003010500",4,1,"01","Alabama","AL"
"4","01003010600",2,1,"01","Alabama","AL"
"5","01003011502",1,NA,"01","Alabama","AL"
"6","01013953200",2,NA,"01","Alabama","AL"
"7","01015000300",1,NA,"01","Alabama","AL"
"8","01015000700",1,3,"01","Alabama","AL"
"9","01015000800",3,1,"01","Alabama","AL"
"10","01017954700",1,NA,"01","Alabama","AL"
"11","01021060401",1,NA,"01","Alabama","AL"
"12","01021060402",2,NA,"01","Alabama","AL"
"13","01023956700",1,NA,"01","Alabama","AL"
"14","01033020100",5,NA,"01","Alabama","AL"
"15","01033020200",5,NA,"01","Alabama","AL"
"16","01033020300",4,NA,"01","Alabama","AL"
"17","01033020400",3,NA,"01","Alabama","AL"
"18","01033020701",1,NA,"01","Alabama","AL"
"19","01039962400",1,NA,"01","Alabama","AL"
"20","01043964900",1,NA,"01","Alabama","AL"
"21","01047956201",1,NA,"01","Alabama","AL"
"22","01047956400",3,NA,"01","Alabama","AL"
"23","01047956500",22,NA,"01","Alabama","AL"
"24","01047956600",6,NA,"01","Alabama","AL"
"25","01047956702",2,NA,"01","Alabama","AL"
"26","01047957100",1,NA,"01","Alabama","AL"
"27","01047957200",3,NA,"01","Alabama","AL"
"28","01049960300",2,NA,"01","Alabama","AL"
"29","01049960400",3,NA,"01","Alabama","AL"
"30","01049960900",1,1,"01","Alabama","AL"
"31","01049961100",1,NA,"01","Alabama","AL"
"32","01049961200",1,NA,"01","Alabama","AL"
"33","01049961400",1,NA,"01","Alabama","AL"
"34","01051030400",4,1,"01","Alabama","AL"
"35","01051030500",2,NA,"01","Alabama","AL"
"36","01051030800",2,NA,"01","Alabama","AL"
"37","01053970200",1,1,"01","Alabama","AL"
"38","01053970300",1,NA,"01","Alabama","AL"
"39","01053970400",3,4,"01","Alabama","AL"
"40","01053970500",3,NA,"01","Alabama","AL"
"41","01053970700",1,NA,"01","Alabama","AL"
"42","01057020300",1,NA,"01","Alabama","AL"
"43","01059973500",1,1,"01","Alabama","AL"
"44","01069040600",7,2,"01","Alabama","AL"
"45","01069040900",1,NA,"01","Alabama","AL"
"46","01069041200",1,NA,"01","Alabama","AL"
"47","01069041400",2,1,"01","Alabama","AL"
