"","GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"1","01055010700",NA,NA,"01","Alabama","AL"
"2","01055001300",NA,NA,"01","Alabama","AL"
"3","01055000900",NA,NA,"01","Alabama","AL"
"4","01055001700",NA,NA,"01","Alabama","AL"
"5","01055010501",NA,NA,"01","Alabama","AL"
"6","01055010300",NA,NA,"01","Alabama","AL"
"7","01055000600",NA,NA,"01","Alabama","AL"
"8","01055010502",NA,NA,"01","Alabama","AL"
"9","01055010100",NA,NA,"01","Alabama","AL"
"10","01055000300",NA,NA,"01","Alabama","AL"
"11","01055000700",NA,NA,"01","Alabama","AL"
"12","01055001600",NA,NA,"01","Alabama","AL"
"13","01055000400",NA,NA,"01","Alabama","AL"
"14","01055000800",NA,NA,"01","Alabama","AL"
"15","01055001100",NA,NA,"01","Alabama","AL"
"16","01055010900",NA,NA,"01","Alabama","AL"
"17","01107050400",NA,NA,"01","Alabama","AL"
"18","01113030402",NA,NA,"01","Alabama","AL"
"19","01107050000",NA,NA,"01","Alabama","AL"
"20","01107050300",1,3,"01","Alabama","AL"
"21","01107050100",NA,NA,"01","Alabama","AL"
"22","01107050200",NA,NA,"01","Alabama","AL"
"23","01127020100",NA,NA,"01","Alabama","AL"
"24","01127021500",7,NA,"01","Alabama","AL"
"25","01127020800",NA,NA,"01","Alabama","AL"
"26","01127021200",NA,NA,"01","Alabama","AL"
"27","01127021700",NA,NA,"01","Alabama","AL"
"28","01127021600",NA,NA,"01","Alabama","AL"
"29","01127021900",NA,NA,"01","Alabama","AL"
"30","01127020300",NA,NA,"01","Alabama","AL"
"31","01001020802",NA,1,"01","Alabama","AL"
"32","01045020802",NA,NA,"01","Alabama","AL"
"33","01045020000",NA,NA,"01","Alabama","AL"
"34","01077011102",NA,NA,"01","Alabama","AL"
"35","01127021400",NA,1,"01","Alabama","AL"
"36","01127020600",NA,NA,"01","Alabama","AL"
"37","01127021800",NA,1,"01","Alabama","AL"
"38","01127021000",NA,NA,"01","Alabama","AL"
"39","01127020700",NA,NA,"01","Alabama","AL"
"40","01127020900",NA,NA,"01","Alabama","AL"
"41","01127020200",NA,1,"01","Alabama","AL"
"42","01127021100",NA,1,"01","Alabama","AL"
"43","01127021300",NA,NA,"01","Alabama","AL"
"44","01127020400",NA,NA,"01","Alabama","AL"
"45","01067030400",NA,NA,"01","Alabama","AL"
"46","01067030600",NA,NA,"01","Alabama","AL"
"47","01067030500",NA,NA,"01","Alabama","AL"
"48","01067030300",NA,NA,"01","Alabama","AL"
"49","01067030100",NA,NA,"01","Alabama","AL"
"50","01067030200",NA,1,"01","Alabama","AL"
"51","01013952900",NA,NA,"01","Alabama","AL"
"52","01125011902",NA,NA,"01","Alabama","AL"
"53","01125011402",NA,NA,"01","Alabama","AL"
"54","01077010300",1,NA,"01","Alabama","AL"
"55","01077010700",1,NA,"01","Alabama","AL"
"56","01077010900",1,NA,"01","Alabama","AL"
"57","01077011000",NA,NA,"01","Alabama","AL"
"58","01025958001",NA,NA,"01","Alabama","AL"
"59","01043965402",NA,NA,"01","Alabama","AL"
"60","01013953200",2,NA,"01","Alabama","AL"
"61","01013953500",NA,NA,"01","Alabama","AL"
"62","01013953000",NA,NA,"01","Alabama","AL"
"63","01013953300",NA,NA,"01","Alabama","AL"
"64","01013952700",NA,NA,"01","Alabama","AL"
"65","01013953100",NA,1,"01","Alabama","AL"
"66","01013953400",NA,NA,"01","Alabama","AL"
"67","01097003902",NA,NA,"01","Alabama","AL"
"68","01027958900",NA,NA,"01","Alabama","AL"
"69","01027959200",NA,NA,"01","Alabama","AL"
"70","01027959100",NA,NA,"01","Alabama","AL"
"71","01097000500",NA,NA,"01","Alabama","AL"
"72","01097003301",NA,NA,"01","Alabama","AL"
"73","01097006402",1,NA,"01","Alabama","AL"
"74","01097007102",NA,NA,"01","Alabama","AL"
"75","01073002100",NA,NA,"01","Alabama","AL"
"76","01115040201",NA,NA,"01","Alabama","AL"
"77","01115040502",NA,1,"01","Alabama","AL"
"78","01111000300",NA,1,"01","Alabama","AL"
"79","01111000400",NA,NA,"01","Alabama","AL"
"80","01111000500",NA,NA,"01","Alabama","AL"
"81","01097000800",NA,1,"01","Alabama","AL"
"82","01097003204",NA,NA,"01","Alabama","AL"
"83","01097002301",NA,NA,"01","Alabama","AL"
"84","01117030314",NA,1,"01","Alabama","AL"
"85","01117030317",NA,1,"01","Alabama","AL"
"86","01117030319",NA,1,"01","Alabama","AL"
"87","01081040300",NA,NA,"01","Alabama","AL"
"88","01097002302",NA,NA,"01","Alabama","AL"
"89","01097006902",NA,NA,"01","Alabama","AL"
"90","01081040700",NA,NA,"01","Alabama","AL"
"91","01081041300",NA,NA,"01","Alabama","AL"
"92","01089010401",NA,NA,"01","Alabama","AL"
"93","01089000902",NA,NA,"01","Alabama","AL"
"94","01089001000",NA,NA,"01","Alabama","AL"
"95","01089001200",NA,NA,"01","Alabama","AL"
"96","01069040700",NA,NA,"01","Alabama","AL"
"97","01069041000",NA,NA,"01","Alabama","AL"
"98","01069041100",NA,NA,"01","Alabama","AL"
"99","01069041200",1,NA,"01","Alabama","AL"
"100","01069041500",1,NA,"01","Alabama","AL"
"101","01069042100",NA,NA,"01","Alabama","AL"
"102","01089000201",NA,NA,"01","Alabama","AL"
"103","01089000202",NA,NA,"01","Alabama","AL"
"104","01089000301",NA,NA,"01","Alabama","AL"
"105","01089000302",NA,NA,"01","Alabama","AL"
"106","01089002200",NA,NA,"01","Alabama","AL"
"107","01089002722",NA,NA,"01","Alabama","AL"
"108","01055011100",NA,NA,"01","Alabama","AL"
"109","01055000500",NA,NA,"01","Alabama","AL"
"110","01055001000",NA,NA,"01","Alabama","AL"
