"","X1..YEAR","X2..TRIFD","X3..FRS.ID","X4..FACILITY.NAME","X5..STREET.ADDRESS","X6..CITY","X7..COUNTY","X8..ST","X9..ZIP","X10..BIA","X11..TRIBE","X12..LATITUDE","X13..LONGITUDE","ONSITE_RELEASES"
"1",2018,"00608DCRBNRD3KM",110001991480,"IDI CARIBE INC","PR3 KM 151.8 AGUIRRE","SALINAS","SALINAS MUNICIPIO","PR",751,NA,"",17.972778,-66.231944,13143.38
"2",2018,"0060WHPNTRCARR1",110067272365,"HP INTERNATIONAL TRADING BV (PUERTO RICO BRANCH) LLC","CARR 110, KM. 5.1","AGUADILLA","AGUADILLA MUNICIPIO","PR",603,NA,"",18.45647,-67.13655,181.4
"3",2018,"00610BXTRHROAD4",110042075072,"EDWARDS LIFESCIENCES TECHNOLOGY SARL","STATE RD 402 KM 1.4 N LAS MARIAS IND US TRIAL PARK","ANASCO","ANASCO MUNICIPIO","PR",610,NA,"",18.2939,-67.1366,580
"4",2018,"00610CRBGNCARR4",110000739513,"GE INTERNATIONAL OF PR LLC","STATE RD 402 KM 1.5 INDUSTRIAL ZONE","ANASCO","ANASCO MUNICIPIO","PR",610,NA,"",18.294021,-67.140643,0.2
"5",2018,"00612PRPCMPR681",110000602571,"PREPA-CAMBALACHE COMBUSTION TURBINE PLANT","PR-681 KM 0.5","ARECIBO","ARECIBO MUNICIPIO","PR",612,NA,"",18.4711,-66.6994,42.2
"6",2018,"00612THRMKZENOG",110000580390,"THERMO KING PUERTO RICO MANUFACTURA INC","517 ZONA IND US TRIAL","ARECIBO","ARECIBO MUNICIPIO","PR",612,NA,"",18.45815,-66.746457,44.558
"7",2018,"00613CRBGPZENOG",110000580407,"INDUSTRIAL C&S OF PR LLC ARECIBO PLANT","RT. 129 KM. 41.0 ZENO GANDIA INDUSTRIAL PARK","ARECIBO","ARECIBO MUNICIPIO","PR",612,NA,"",18.458254,-66.741617,11905
"8",2018,"00613RSTNDROUTE",110007176331,"CUTLER HAMMER ELECTRICAL CO","RD 2 KM 67.6 SANTANA IND US TRIAL PARK","ARECIBO","ARECIBO MUNICIPIO","PR",612,NA,"",18.450057,-66.656901,7252
"9",2018,"00617BBVLTRDN2K",110055065637,"ABBVIE LTD","RD NO2 KM 58.0 CRUCE DAVILA","BARCELONETA","BARCELONETA MUNICIPIO","PR",617,NA,"",18.433642,-66.566856,226.358818440088
"10",2018,"00617MRCKSSTATE",110067716662,"BOEHRINGER INGELHEIM ANIMAL HEALTH PUERTO RICO LLC","ROAD #2 KM 56.7","BARCELONETA","BARCELONETA MUNICIPIO","PR",617,NA,"",18.426041,-66.549388,0.29
"11",2018,"00617PFZRPHIGHW",110008472063,"PFIZER PHARMACEUTICALS LLC","HWY #2 KM 58.2","BARCELONETA","BARCELONETA MUNICIPIO","PR",617,NA,"",18.434524,-66.569322,32104.7
"12",2018,"00617PRCSNTMASD",110025330666,"ADM ALLIANCE NUTRITION OF PUERTO RICO LLC","TOMAS DAVILA ST EDIF 10  PALMAS ALTAS INDUSTRIAL P","BARCELONETA","BARCELONETA MUNICIPIO","PR",617,NA,"",18.452756,-66.540381,0.23
"13",2018,"00619CRBBNLUCHE",110008471956,"PUMA ENERGY CARIBE LLC","PR 28 KM 2 LUCHETTI IND US TRIAL PARK","BAYAMON","BAYAMON MUNICIPIO","PR",961,NA,"",18.416587,-66.133292,7641.963
"14",2018,"00619HRRSD15CST",110007806222,"HARRIS PAINTS CORP","25 C STREET, MINILLAS INDUSTRIAL PARK, BAYAMON, PR","BAYAMON","BAYAMON MUNICIPIO","PR",959,NA,"",18.392783,-66.164396,3045.482
"15",2018,"00619SLNDLST167",110007805973,"ISLAND LITHO CORP","PR-28 CORNER PR-05 LUCHETTI","BAYAMON","BAYAMON MUNICIPIO","PR",961,NA,"",18.412467,-66.143242,3907.41
"16",2018,"0061WMPRTRSTATE",110056408613,"AMO PUERTO RICO MFG INC","STATE RD 402 EDWARD BOULEVARD - INDUSTRIAL PARK","ANASCO","ANASCO MUNICIPIO","PR",610,NA,"",18.292267,-67.135191,4067
"17",2018,"00621SLNDCLUCHE",110000580470,"ISLAND CAN CARRIBEAN INC","PR-28 CORNER PR-05 LUCHETTI IND US TRIAL PARK","BAYAMON","BAYAMON MUNICIPIO","PR",961,NA,"",18.412117,-66.143666,9105
