X,Y,ID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,BRAC_SITE,STATE_CODE,STATE_NUM,TRACT_ZIP,TRACT_FOLDER,TRACT_FILE
-76.3491958358977,34.8924654396554,"1",MC Active,OLF Atlantic,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-116.870657709588,34.8907284833201,"2",MC Active,MCLB Barstow Yermo Area,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-157.987550351589,21.3173363709515,"3",MC Active,MCB Hawaii Puuloa-Oahu,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.718943514398,21.364304677093,"4",MC Active,MC Trng Area Bellows,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.971384083972,21.3834940545171,"5",MC Active,MCB Hawaii Pearl City Annex,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.905544793075,21.3863817851532,"6",MC Active,MCB Camp Smith,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.980813168054,21.4001580415205,"7",MC Active,MCB Hawaii Manana Capehart,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-80.7953542477056,32.4649215970314,"8",MC Active,MCAS Beaufort LB Housing,N/A,South Carolina,NO,SC,"45",tracts/tl_2019_45_tract.zip,tracts/tl_2019_45_tract/,tl_2019_45_tract.shp
-114.656062879425,32.700712428537,"9",MC Active,MCAS Yuma Hsg-Off Base FY81,N/A,Arizona,NO,AZ,"04",tracts/tl_2019_04_tract.zip,tracts/tl_2019_04_tract/,tl_2019_04_tract.shp
-117.221100894205,32.7292788971992,"10",MC Active,MCRD San Diego Former NTC,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-77.0311099999906,34.6911100007566,"11",MC Active,ALF Bogue,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-77.4424999996596,34.709720000661,"12",MC Active,MCB Camp Lejeune West Site,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-77.253330000295,35.0283300006684,"13",MC Active,MCB Camp Lejeune Oak Grove,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-76.4621030836728,35.0129200518475,"14",MC Active,Point Of Marsh Target,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-119.518459071039,38.5879301408092,"15",MC Active,MWTC Bridgeport,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-114.083800750446,32.4985286944358,"16",MC Active,Barry Goldwater Range,N/A,Arizona,NO,AZ,"04",tracts/tl_2019_04_tract.zip,tracts/tl_2019_04_tract/,tl_2019_04_tract.shp
-115.310680006561,33.3122957921766,"17",MC Active,Choc Mt Air Gnry Rng,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-81.5258814556364,30.4017806902576,"18",MC Active,MCSF Blount Island,N/A,Florida,NO,FL,"12",tracts/tl_2019_12_tract.zip,tracts/tl_2019_12_tract/,tl_2019_12_tract.shp
-116.138304773401,34.4596331198695,"19",MC Active,Twentynine Palms Main Base,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-80.7224936606275,32.4736353395859,"20",MC Active,MCAS Beaufort,N/A,South Carolina,NO,SC,"45",tracts/tl_2019_45_tract.zip,tracts/tl_2019_45_tract/,tl_2019_45_tract.shp
-76.8804808146451,34.9038784714669,"21",MC Active,MCAS Cherry Point,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-117.088083485949,32.8768275694469,"22",MC Active,MCAS Miramar,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-114.602242787987,32.64442922615,"23",MC Active,MCAS Yuma,N/A,Arizona,NO,AZ,"04",tracts/tl_2019_04_tract.zip,tracts/tl_2019_04_tract/,tl_2019_04_tract.shp
-77.3433561935275,34.6626554319792,"24",MC Active,MCB Camp Lejeune,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-117.423976756083,33.3619108428258,"25",MC Active,MCB Camp Pendleton,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-157.751115905242,21.4454437013513,"26",MC Active,MCB Hawaii Kaneohe,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-77.4485555911467,38.5264314362433,"27",MC Active,MCB Quantico,N/A,Virginia,NO,VA,"51",tracts/tl_2019_51_tract.zip,tracts/tl_2019_51_tract/,tl_2019_51_tract.shp
-84.0546758245481,31.5511408091669,"28",MC Active,MCLB Albany,N/A,Georgia,NO,GA,"13",tracts/tl_2019_13_tract.zip,tracts/tl_2019_13_tract/,tl_2019_13_tract.shp
-117.197685622944,32.7401688592269,"29",MC Active,MCRD San Diego,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-77.073324217384,38.8689761106537,"30",Army Active,HQBN Henderson Hall Arlington,Joint Base Myer - Henderson Hall,Virginia,NO,VA,"51",tracts/tl_2019_51_tract.zip,tracts/tl_2019_51_tract/,tl_2019_51_tract.shp
