"","FRS_FACILITY_DETAIL_REPORT_URL","REGISTRY_ID","PRIMARY_NAME","LOCATION_ADDRESS","SUPPLEMENTAL_LOCATION","CITY_NAME","COUNTY_NAME","FIPS_CODE","STATE_CODE","STATE_NAME","COUNTRY_NAME","POSTAL_CODE","FEDERAL_FACILITY_CODE","FEDERAL_AGENCY_NAME","TRIBAL_LAND_CODE","TRIBAL_LAND_NAME","CONGRESSIONAL_DIST_NUM","CENSUS_BLOCK_CODE","HUC_CODE","EPA_REGION_CODE","SITE_TYPE_NAME","LOCATION_DESCRIPTION","CREATE_DATE","UPDATE_DATE","US_MEXICO_BORDER_IND","PGM_SYS_ACRNMS","INTEREST_TYPES","NAICS_CODES","NAICS_CODE_DESCRIPTIONS","SIC_CODES","SIC_CODE_DESCRIPTIONS","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC"
"1","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605333",110070605333,"USDOD DLA FAIRBANKS DEFENSE FUEL SUPPORT PT","CANOL SERVICE RD","","FORT WAINWRIGHT","FAIRBANKS NORTH STAR","02090","AK","","USA","99703","Yes","","","",0,20900012002026,19040506,10,"CONTAMINATED SITE","","16-SEP-2019 11:36:58","","","SEMS:AK6971522879","SUPERFUND (NON-NPL)","","","","",64.883333,-147.666667,"SEMS","",NA,"","NAD83",NA
"2","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009331749",110009331749,"SALT CHUCK MINE","4 MI SW CY,  T72S R84E S17, COPPER RIVER","MERIDIAN, 3.5 AIR MI N OF KARTA BAY","THORNE BAY","PRINCE OF WALES-HYDER","02198","AK","ALASKA","UNITED STATES","99919","","Agriculture: not otherwise classified","","",0,21980001002059,19010103,10,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","10-DEC-2015 22:48:50","","FFDOCKET:AK0001897602, SEMS:AK0001897602","FEDERAL FACILITY HAZARDOUS WASTE DOCKET, SUPERFUND NPL","","","","",55.626442,-132.558853,"SEMS","",NA,"","NAD83",NA
"3","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009264349",110009264349,"USA ALABAMA ARMY AMMUNITION PLT","STATE HIGH WAY 235","STATE HIGH WAY 235","CHILDERSBURG","TALLADEGA","01121","AL","ALABAMA","UNITED STATES","35044","Yes","Defense: Army","","",3,11210112001201,3150106,4,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:40:14","","FFDOCKET:AL6210020008, RCRAINFO:AL6210020008, SEMS:AL6210020008","FEDERAL FACILITY HAZARDOUS WASTE DOCKET, SUPERFUND NPL, UNSPECIFIED UNIVERSE","","","","",33.3381,-86.3268,"SEMS","",NA,"","NAD83",NA
"4","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605255",110070605255,"US NASA MARSHALL SPACE FLIGHT CENTER","REDSTONE ARSENAL","","HUNTSVILLE","MADISON","01089","AL","","USA","35812","Yes","","","",5,10890111001950,6030002,4,"CONTAMINATED SITE","","16-SEP-2019 11:36:56","","","SEMS:AL1800013863","SUPERFUND (NON-NPL)","","","","",34.70875,-86.62705,"FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER",50,"ENTRANCE POINT OF A FACILITY OR STATION","NAD83",NA
"5","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070126707",110070126707,"TRIANA/TENNESSEE RIVER","USAMICOM DRSMI KL","","LIMESTONE/MORGAN","MORGAN","01089","AL","ALABAMA","USA","35898","","","","",4,11030057022011,6030002,4,"CONTAMINATED SITE","","18-OCT-2017 08:32:17","18-OCT-2017 08:34:23","","SEMS:ALD983166299","SUPERFUND NPL","","","","",34.508888,-86.638194,"SEMS","",NA,"","NAD83",NA
"6","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009330688",110009330688,"CAPITOL CITY PLUME","MADISON AVENUE","MADISON AVENUE","MONTGOMERY","MONTGOMERY","01101","AL","ALABAMA","UNITED STATES","36109","","","","",2,11010001001038,3150201,4,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:30:14","","SEMS:AL0001058056","SUPERFUND NPL","","","","",32.382,-86.306,"SEMS","",NA,"","NAD83",NA
"7","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009330606",110009330606,"PERDIDO GROUND WATER CONTAMINATION","COUNTY RD 47 S","COUNTY RD 47 S","PERDIDO","BALDWIN","01003","AL","ALABAMA","UNITED STATES","36562","","","","",1,10030102001003,3140106,4,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:12:42","","ICIS:32736, SEMS:ALD980728703","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","","",31.0125,-87.625,"SEMS","",NA,"","NAD83",NA
"8","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009330615",110009330615,"REDWING CARRIERS, INC. (SARALAND)","527 US HWY 43","527 US HWY 43","SARALAND","MOBILE","01097","AL","ALABAMA","UNITED STATES","36571","","","","",1,10970054001031,3160204,4,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","29-FEB-2016 12:28:43","","ICIS:23265, ICIS:23267, SEMS:ALD980844385","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","","",30.808331,-88.073061,"SEMS","",NA,"","NAD83",NA
"9","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605258",110070605258,"USA COOSA RIVER STORAGE ANNEX","4 MILES NE HWY 202","","TALLADEGA","TALLADEGA","01121","AL","","USA","35160","Yes","","","",3,11210109002027,3150106,4,"CONTAMINATED SITE","","16-SEP-2019 11:36:56","","","SEMS:AL5213820231","SUPERFUND (NON-NPL)","","","","",33.435,-86.101667,"SEMS","",NA,"","NAD83",NA
"10","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332016",110009332016,"INDUSTRIAL WASTE CONTROL","BONANZA ROAD","BONANZA ROAD","FORT SMITH","SEBASTIAN","05131","AR","ARKANSAS","UNITED STATES","72901","","","","",3,51310103013014,11110201,6,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","29-FEB-2016 12:28:24","","ICIS:31540, SEMS:ARD980496368","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","1112","",35.2402,-94.3525,"SEMS","",NA,"","NAD83",NA
