"row.id","col.id","PRIMARY_NAME_SF","LOCATION_ADDRESS_SF","CITY_NAME_SF","geometry.x","location_name_PFOA","location_PFOA","geometry.y"
"1",5,10,"EARECKSON AIR STATION USAF","SHEMYA ISLAND","ADAK",c(174.107672, 52.722466),"Earekson Air Station, Shemya Island, Aleutian Islands, Alaska","shemya island, aleutian islands, alaska",c(174.113615264899, 52.7139660495138)
"2",10,15,"ALASKA RAILROAD CORP","327 W SHIP CREEK AVE","ANCHORAGE",c(-149.88825, 61.22236),"Former Kulis ANGB, Anchorage, Alaska","anchorage, alaska",c(-149.9702315, 61.1630582)
"3",10,20,"ALASKA RAILROAD CORP","327 W SHIP CREEK AVE","ANCHORAGE",c(-149.88825, 61.22236),"Joint Base Elmendorf-Richardson, Anchorage, Alaska","anchorage, alaska",c(-149.693353, 61.2544953)
"4",11,15,"ELMENDORF AIR FORCE BASE","N BOUNDRY OF CITY LIMITS","ANCHORAGE",c(-149.7917, 61.254169),"Former Kulis ANGB, Anchorage, Alaska","anchorage, alaska",c(-149.9702315, 61.1630582)
"5",11,20,"ELMENDORF AIR FORCE BASE","N BOUNDRY OF CITY LIMITS","ANCHORAGE",c(-149.7917, 61.254169),"Joint Base Elmendorf-Richardson, Anchorage, Alaska","anchorage, alaska",c(-149.693353, 61.2544953)
"6",12,15,"FOURTH AVENUE & GAMBLE PARKING LOT","717 EAST 4TH AVENUE","ANCHORAGE",c(-149.87012, 61.21855),"Former Kulis ANGB, Anchorage, Alaska","anchorage, alaska",c(-149.9702315, 61.1630582)
"7",12,20,"FOURTH AVENUE & GAMBLE PARKING LOT","717 EAST 4TH AVENUE","ANCHORAGE",c(-149.87012, 61.21855),"Joint Base Elmendorf-Richardson, Anchorage, Alaska","anchorage, alaska",c(-149.693353, 61.2544953)
"8",13,15,"POST ROAD DRUM SITE","200 N. POST ROAD","ANCHORAGE",c(-149.85873, 61.22328),"Former Kulis ANGB, Anchorage, Alaska","anchorage, alaska",c(-149.9702315, 61.1630582)
"9",13,20,"POST ROAD DRUM SITE","200 N. POST ROAD","ANCHORAGE",c(-149.85873, 61.22328),"Joint Base Elmendorf-Richardson, Anchorage, Alaska","anchorage, alaska",c(-149.693353, 61.2544953)
"10",14,15,"STANDARD STEEL & METALS CO","2400 RAILROAD AVE","ANCHORAGE",c(-149.8324, 61.2279),"Former Kulis ANGB, Anchorage, Alaska","anchorage, alaska",c(-149.9702315, 61.1630582)
"11",14,20,"STANDARD STEEL & METALS CO","2400 RAILROAD AVE","ANCHORAGE",c(-149.8324, 61.2279),"Joint Base Elmendorf-Richardson, Anchorage, Alaska","anchorage, alaska",c(-149.693353, 61.2544953)
"12",22,11,"EIELSON AIR FORCE BASE","277 CARGAIN AVE","EIELSON AFB",c(-147.0492, 64.67145),"Eielson AFB, Moose Creek, Fairbanks North Star Borough, Alaska","moose creek, fairbanks north star borough, alaska",c(-147.1436109, 64.7099999)
"13",23,12,"ALASKA BATTERY ENTERPRISES CLEANUP","157 OLD RICHARDSON HWY","FAIRBANKS",c(-147.7038, 64.8203),"Fairbanks Regional Fire Training Center / Fairbanks International Airport, Fairbanks, Alaska","fairbanks, alaska",c(-147.7181321, 64.838254)
"14",23,17,"ALASKA BATTERY ENTERPRISES CLEANUP","157 OLD RICHARDSON HWY","FAIRBANKS",c(-147.7038, 64.8203),"Fort Wainwright, Fairbanks, Alaska","fairbanks, alaska",c(-147.642915, 64.8277871)
"15",23,22,"ALASKA BATTERY ENTERPRISES CLEANUP","157 OLD RICHARDSON HWY","FAIRBANKS",c(-147.7038, 64.8203),"Napa Auto Parts Store fire, Fairbanks, Alaska","fairbanks, alaska",c(-147.7126662, 64.8364579)
"16",24,12,"ARCTIC SURPLUS","OLD RICHARDSON HWY, MILE 6","FAIRBANKS",c(-147.5643, 64.8122),"Fairbanks Regional Fire Training Center / Fairbanks International Airport, Fairbanks, Alaska","fairbanks, alaska",c(-147.7181321, 64.838254)
"17",24,17,"ARCTIC SURPLUS","OLD RICHARDSON HWY, MILE 6","FAIRBANKS",c(-147.5643, 64.8122),"Fort Wainwright, Fairbanks, Alaska","fairbanks, alaska",c(-147.642915, 64.8277871)
"18",24,22,"ARCTIC SURPLUS","OLD RICHARDSON HWY, MILE 6","FAIRBANKS",c(-147.5643, 64.8122),"Napa Auto Parts Store fire, Fairbanks, Alaska","fairbanks, alaska",c(-147.7126662, 64.8364579)
"19",24,24,"ARCTIC SURPLUS","OLD RICHARDSON HWY, MILE 6","FAIRBANKS",c(-147.5643, 64.8122),"North Pole Terminal / North Pole Fire Department, North Pole, Alaska","north pole, alaska",c(-147.3569228, 64.7549077)
"20",25,12,"COIN KING LAUNDROMAT","431 GAFFNEY ROAD","FAIRBANKS",c(-147.71529, 64.83674),"Fairbanks Regional Fire Training Center / Fairbanks International Airport, Fairbanks, Alaska","fairbanks, alaska",c(-147.7181321, 64.838254)
"21",25,17,"COIN KING LAUNDROMAT","431 GAFFNEY ROAD","FAIRBANKS",c(-147.71529, 64.83674),"Fort Wainwright, Fairbanks, Alaska","fairbanks, alaska",c(-147.642915, 64.8277871)
"22",25,22,"COIN KING LAUNDROMAT","431 GAFFNEY ROAD","FAIRBANKS",c(-147.71529, 64.83674),"Napa Auto Parts Store fire, Fairbanks, Alaska","fairbanks, alaska",c(-147.7126662, 64.8364579)
"23",26,12,"MILLER JUNKYARD","1407 30TH ST","FAIRBANKS",c(-147.73684, 64.82013),"Fairbanks Regional Fire Training Center / Fairbanks International Airport, Fairbanks, Alaska","fairbanks, alaska",c(-147.7181321, 64.838254)
"24",26,17,"MILLER JUNKYARD","1407 30TH ST","FAIRBANKS",c(-147.73684, 64.82013),"Fort Wainwright, Fairbanks, Alaska","fairbanks, alaska",c(-147.642915, 64.8277871)
"25",26,22,"MILLER JUNKYARD","1407 30TH ST","FAIRBANKS",c(-147.73684, 64.82013),"Napa Auto Parts Store fire, Fairbanks, Alaska","fairbanks, alaska",c(-147.7126662, 64.8364579)
"26",27,16,"USARMY FORT GREELY","606 1ST AVE","FORT GREELY",c(-145.726776, 63.900543),"Fort Greely, Fort Greely, Southeast Fairbanks Census Area, Alaska","fort greely, southeast fairbanks census area, alaska",c(-145.607616, 63.8858021)
"27",28,20,"USDOD JOINT BASE ELMENDORF-RICHARDSON","724 QUARTERMASTER RD","FORT RICHARDSON",c(-149.7, 61.258333),"Joint Base Elmendorf-Richardson, Anchorage, Alaska","anchorage, alaska",c(-149.693353, 61.2544953)
"28",29,12,"FORT WAINWRIGHT","1060 GAFFNEY RD","FORT WAINWRIGHT",c(-147.6106, 64.823),"Fairbanks Regional Fire Training Center / Fairbanks International Airport, Fairbanks, Alaska","fairbanks, alaska",c(-147.7181321, 64.838254)
"29",29,17,"FORT WAINWRIGHT","1060 GAFFNEY RD","FORT WAINWRIGHT",c(-147.6106, 64.823),"Fort Wainwright, Fairbanks, Alaska","fairbanks, alaska",c(-147.642915, 64.8277871)
"30",29,22,"FORT WAINWRIGHT","1060 GAFFNEY RD","FORT WAINWRIGHT",c(-147.6106, 64.823),"Napa Auto Parts Store fire, Fairbanks, Alaska","fairbanks, alaska",c(-147.7126662, 64.8364579)
"31",29,24,"FORT WAINWRIGHT","1060 GAFFNEY RD","FORT WAINWRIGHT",c(-147.6106, 64.823),"North Pole Terminal / North Pole Fire Department, North Pole, Alaska","north pole, alaska",c(-147.3569228, 64.7549077)
"32",30,12,"USDOD DLA FAIRBANKS DEFENSE FUEL SUPPORT PT","CANOL SERVICE RD","FORT WAINWRIGHT",c(-147.666667, 64.883333),"Fairbanks Regional Fire Training Center / Fairbanks International Airport, Fairbanks, Alaska","fairbanks, alaska",c(-147.7181321, 64.838254)
"33",30,17,"USDOD DLA FAIRBANKS DEFENSE FUEL SUPPORT PT","CANOL SERVICE RD","FORT WAINWRIGHT",c(-147.666667, 64.883333),"Fort Wainwright, Fairbanks, Alaska","fairbanks, alaska",c(-147.642915, 64.8277871)
"34",30,22,"USDOD DLA FAIRBANKS DEFENSE FUEL SUPPORT PT","CANOL SERVICE RD","FORT WAINWRIGHT",c(-147.666667, 64.883333),"Napa Auto Parts Store fire, Fairbanks, Alaska","fairbanks, alaska",c(-147.7126662, 64.8364579)
"35",32,14,"EDWARD G PITKA SR AIRPORT","AIRPORT RD","GALENA",c(-156.94568, 64.73889),"Former Galena Forward Operating Location, Galena, Yukon-Koyukuk Census Area, Alaska","galena, yukon-koyukuk census area, alaska",c(-156.9275, 64.7333333)
"36",37,19,"NATIONAL MARINE FISHERIES AUKE CREEK HATCHERY","11305 GLACIER HWY","JUNEAU",c(-134.644972, 58.381114),"Hagevig Fire Training Center, Juneau, Alaska","juneau, alaska",c(-134.6168542, 58.3698357)
"37",42,21,"KING SALMON AIRPORT","1 KING SALMON AIRPORT RD","KING SALMON",c(-156.67073, 58.69301),"King Salmon Air Station / King Salmon Airport, King Salmon, Alaska","king salmon, alaska",c(-156.6682051, 58.6826662)
"38",43,11,"FLINT HILLS RESOURCES NORTH POLE REFINERY","1100 H AND H LN","NORTH POLE",c(-147.34844, 64.737264),"Eielson AFB, Moose Creek, Fairbanks North Star Borough, Alaska","moose creek, fairbanks north star borough, alaska",c(-147.1436109, 64.7099999)
"39",43,24,"FLINT HILLS RESOURCES NORTH POLE REFINERY","1100 H AND H LN","NORTH POLE",c(-147.34844, 64.737264),"North Pole Terminal / North Pole Fire Department, North Pole, Alaska","north pole, alaska",c(-147.3569228, 64.7549077)
"40",55,23,"BARROW DRUM RAVINE","NUNAVAK RD","UTQIAGVIK",c(-156.923451, 71.228809),"Naval Base Kitsap - Naval Arctic Research Lab Barrow, Utqiagvik, Alaska","utqiagvik, alaska",c(-156.658804, 71.3275036)
"41",58,25,"YAKUTAT AIRPORT","1 AIRPORT RD","YAKUTAT",c(-139.659147, 59.503145),"Yakutat Airport, Yakutat, Alaska","yakutat, alaska",c(-139.6689486, 59.5094214)
"42",91,5,"CHOICE FABRICATORS SPILL","POSTAL ADDRESS IS UNAVAILABLE FOR THE SITE","ATTALLA",c(-86.088611, 34.030556),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"43",92,5,"GULF COAST PLATING INC","100 UTILITY AVENUE","ATTALLA",c(-86.12029, 33.99146),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"44",97,1,"BESSEMER DRUM SITE","817 20TH STREET","BESSEMER",c(-86.894367, 33.510367),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"45",101,1,"35TH AVE SITE","3500 35TH AVE N","BIRMINGHAM",c(-86.799671, 33.557464),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"46",102,1,"41ST AVE N. WIRE FLUFF PILE","41ST AVE N.(NEAR INTERSECTION OF 37TH ST","BIRMINGHAM",c(-86.81951, 33.56468),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"47",103,1,"A & B FOUNDRY INC","2631 SHUTTLESWORTH DRIVE","BIRMINGHAM",c(-86.808016, 33.548532),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"48",104,1,"ALABAMA FLOODS 2003 (CERCLA)","POSTAL ADDRESS IS UNAVAILABLE FOR THE SITE","BIRMINGHAM",c(-86.808778, 33.518417),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"49",105,1,"ALAGASCO PROPERTY","233 SHUTTLESWORTH DRIVE","BIRMINGHAM",c(-86.802433, 33.520682),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"50",106,1,"ARKADELPHIA ROAD TRUCK FIRE","NEAR INTERSTATE 59/20 AND ARKADELPHIA ROAD","BIRMINGHAM",c(-86.845539, 33.520844),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"51",107,1,"CSX SEABOARD SULFURIC ACID RELEASE","2800 SEABOARD ROAD","BIRMINGHAM",c(-86.79075, 33.58928),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"52",108,1,"D.C. WAREHOUSE","3101 27TH AVE","BIRMINGHAM",c(-86.8048, 33.54967),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"53",109,1,"FIVE MILE CREEK","FIVE MILE CREEK WATERSHED","BIRMINGHAM",c(-86.792871, 33.585919),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"54",110,1,"GAO 217 - ROBERT SMITH COMPANY","925 NORTH 28TH STREET","BIRMINGHAM",c(-86.80109, 33.52911),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"55",111,1,"GRADCO, INC","7341 CAHABA VALLEY RD, HWY 119","BIRMINGHAM",c(-86.647188, 33.457351),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"56",113,1,"JAFFE WHOLESALE IRON AND METAL COMPANY","2850 5TH AVENUE NORTH","BIRMINGHAM",c(-86.789741, 33.513712),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"57",114,1,"JONES, GENE T TIRE & BATTERY DISTRIBUTOR INCORPORATED","820 AVENUE E","BIRMINGHAM",c(-86.887789, 33.524704),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
